report_id,COUNTRY_CODE,RATE,YEAR,GENDER,AGE,exp_percentage
136,BFA,36.57479858,2007,male,adult,17.863819122314453
137,BFA,44.37945175,2014,male,adult,19.36811065673828
138,BFA,49.17272949,2018,male,adult,22.661169052124023
141,BDI,67.30693054,2000,male,adult,10.735260009765625
142,BDI,53.12839127,2008,male,adult,12.61553955078125
143,BDI,69.58728027,2014,male,adult,23.84000015258789
144,BDI,76.29605103,2017,male,adult,19.764850616455078
145,KHM,79.48217773,1998,male,adult,9.392000198364258
146,KHM,84.68000793,2004,male,adult,12.40431022644043
148,KHM,83.93267822,2009,male,adult,8.165240287780762
149,KHM,84.81414795,2014,male,adult,8.791600227355957
152,CMR,79.19451904,2000,male,adult,11.683699607849121
153,CMR,78.9499588,2007,male,adult,21.37933921813965
154,CMR,78.32769012,2010,male,adult,18.753889083862305
155,CMR,82.6280365,2018,male,adult,16.883159637451172
159,CPV,91.69143677,2015,male,adult,16.74822998046875
163,CAF,66.78952789,2000,male,adult,9.930769920349121
164,CAF,50.71271133,2010,male,adult,6.475379943847656
165,CAF,49.51459122,2018,male,adult,9.135499954223633
167,TCD,40.8270607,2000,male,adult,12.844490051269531
168,TCD,39.3682518,2004,male,adult,11.031900405883789
169,TCD,38.91820145,2015,male,adult,8.899999618530273
170,TCD,31.32879066,2016,male,adult,13
173,CHL,95.79640961,2002,male,adult,17.450599670410156
174,CHL,97.70249939,2008,male,adult,17.40113067626953
175,CHL,97.88935852,2009,male,adult,17.03561019897461
176,CHL,96.89878082,2011,male,adult,17.749740600585938
177,CHL,96.38800812,2013,male,adult,19.64569091796875
178,CHL,97.02468872,2015,male,adult,19.59404945373535
179,CHL,96.48062897,2017,male,adult,21.31155014038086
183,CHN,97.47946167,2010,male,adult,13.552069664001465
184,CHN,98.46653748,2018,male,adult,11.450690269470215
187,COL,92.9041214,2004,male,adult,15.417420387268066
188,COL,92.77794647,2005,male,adult,15.531450271606445
189,COL,92.39279938,2006,male,adult,13.771320343017578
190,COL,92.42970276,2007,male,adult,14.498169898986816
191,COL,93.31687927,2008,male,adult,13.854909896850586
192,COL,93.06253815,2009,male,adult,15.45088005065918
193,COL,93.25019073,2010,male,adult,15.926830291748047
194,COL,93.48825836,2011,male,adult,14.772029876708984
195,COL,93.86740112,2014,male,adult,14.808979988098145
196,COL,94.06317139,2015,male,adult,14.292730331420898
197,COL,94.40228271,2016,male,adult,14.927189826965332
198,COL,94.85182953,2018,male,adult,12.837189674377441
199,COL,95.01589203,2019,male,adult,14.136580467224121
203,COM,56.47980118,2012,male,adult,18.49151039123535
206,COG,86.04982758,2005,male,adult,7.597819805145264
208,COG,86.07650757,2018,male,adult,15.582799911499023
210,CRI,94.650177,2000,male,adult,18.819509506225586
211,CRI,97.30632782,2011,male,adult,23.009620666503906
212,CRI,97.80235291,2018,male,adult,26.086669921875
214,CIV,43.94641876,1998,male,adult,18.81475067138672
215,CIV,60.86066055,2000,male,adult,20.806949615478516
216,CIV,51.59267044,2012,male,adult,20.858760833740234
217,CIV,50.70190048,2014,male,adult,21.766780853271484
218,CIV,93.14134979,2019,male,adult,17.379579544067383
221,HRV,99.62970734,2011,male,adult,8.47523021697998
225,CYP,98.63104248,2001,male,adult,14.32157039642334
226,CYP,99.28614807,2011,male,adult,15.497650146484375
230,COD,88.52468872,2016,male,adult,14.635419845581055
232,DOM,86.8110199,2002,male,adult,12.079719543457031
233,DOM,88.21015167,2007,male,adult,12.577879905700684
234,DOM,89.37703705,2010,male,adult,14.849300384521484
235,DOM,89.98500824,2011,male,adult,16.112699508666992
236,DOM,90.08482361,2012,male,adult,16.944900512695312
237,DOM,90.45812988,2013,male,adult,25.93160057067871
238,DOM,91.37159729,2014,male,adult,13.123700141906738
239,DOM,91.65071106,2015,male,adult,22.595849990844727
240,DOM,93.79360199,2016,male,adult,21.945199966430664
246,ECU,93.66378021,2009,male,adult,13.17257022857666
