report_id,country_code,rate,year
365,IDN,94.03507996,2004
366,IDN,95.15853882,2006
367,IDN,95.38318634,2008
368,IDN,95.6470108,2009
369,IDN,95.59108734,2011
370,IDN,96.791008,2014
371,IDN,97.10652161,2015
372,IDN,97.17443848,2016
373,IDN,97.33133698,2018
374,IDN,97.4493103,2020
375,IRN,48.18333054,1976
376,IRN,63.09954834,1986
377,IRN,74.27448273,1991
378,IRN,79.87161255,1996
379,IRN,83.5,2002
380,IRN,88.01032257,2005
381,IRN,87.27218628,2006
382,IRN,88.17703247,2008
383,IRN,88.87982178,2012
384,IRN,89.54248047,2013
385,IRN,89.63542175,2014
386,IRN,90.35240936,2016
387,IRQ,84.08740997,2000
388,IRQ,85.90000153,2012
389,IRQ,81.40000153,2013
390,IRQ,90,2014
391,IRQ,90,2016
392,IRQ,91.19999695,2017
393,ISR,94.96340179,1983
394,ITA,97.46465302,1981
395,ITA,98.82369232,2001
396,ITA,99.14100647,2011
397,ITA,99.35344696,2018
398,JAM,74.08184052,1999
399,JAM,83.44000244,2014
400,JOR,80.48261261,1979
401,JOR,95.08450317,2003
402,JOR,95.17645264,2005
403,JOR,95.49455261,2007
404,JOR,95.76724243,2010
405,JOR,97.74835968,2011
406,JOR,98.44455719,2012
407,JOR,98.61421204,2018
408,KAZ,99.07195282,1989
409,KAZ,99.76329803,1999
410,KAZ,99.78624725,2009
411,KAZ,99.8296814,2010
412,KAZ,99.8296814,2018
413,KEN,87.49465942,2000
414,KEN,78.07914734,2007
415,KEN,83.7780304,2014
416,KEN,84.98883057,2018
417,KWT,68.02863312,1975
418,KWT,72.78765106,1980
419,KWT,78.19730377,1985
420,KWT,81.12094879,1995
421,KWT,94.44603729,2005
422,KWT,94.52522278,2006
423,KWT,94.79457855,2007
424,KWT,95.01587677,2008
425,KWT,95.54531097,2010
426,KWT,95.83972168,2012
427,KWT,96.35418701,2013
428,KWT,96.39225006,2015
429,KWT,96.69714355,2017
430,KWT,96.66645813,2018
431,KWT,97.05384827,2020
432,KGZ,99.30670929,1999
433,KGZ,99.5187912,2009
434,KGZ,99.67700958,2018
435,LAO,73.48625183,1995
436,LAO,81.36018372,2000
437,LAO,77.00605774,2001
438,LAO,82.45175171,2005
439,LAO,67.35858154,2011
440,LAO,89.96128082,2015
441,LVA,99.7543335,1989
442,LVA,99.79334259,2000
443,LVA,99.88110352,2011
444,LVA,99.86837006,2018
445,LBN,93.37893677,2007
446,LBN,94.27194977,2009
447,LBN,96.85466003,2018
448,LSO,79.99578094,2000
449,LSO,65.5219574,2009
450,LSO,67.74746704,2014
451,LBR,44.87931824,1984
452,LBR,60.77481079,2007
453,LBR,62.69655991,2017
454,LBY,76.99263,1984
455,LBY,87.72000122,1994
456,LBY,93.84999847,2004
457,LTU,99.20681,1989
458,LTU,99.64315033,2001
459,LTU,99.79418945,2011
460,MAC,92.80967712,1981
461,MAC,95.27620697,2001
462,MAC,96.46999359,2006
463,MAC,97.75128937,2011
464,MAC,98.18592072,2016
465,MDG,76.53832245,2000
466,MDG,63.34706879,2005
467,MDG,67.41731262,2009
468,MDG,75.02886963,2012
469,MDG,78.37828064,2018
470,MWI,65.27950287,1987
471,MWI,74.92640686,1998
472,MWI,72.09764862,2010
473,MWI,75.97926331,2014
474,MWI,69.75396729,2015
475,MYS,78.14633179,1980
476,MYS,88.56298828,1991
477,MYS,91.96923828,2000
478,MYS,95.43374634,2010
479,MYS,96.29699707,2016
480,MYS,96.49912262,2017
481,MYS,96.12304688,2018
482,MYS,96.21800232,2019
483,MDV,82.40484619,1977
484,MDV,92.11401367,1985
485,MDV,95.89713287,1990
486,MDV,96.21227264,1995
487,MDV,98.36569214,2006
488,MDV,98.52033997,2014
489,MDV,97.29892731,2016
490,MLI,13.51292038,1976
491,MLI,26.73296928,1998
492,MLI,32.70000076,2003
493,MLI,34.85789108,2006
494,MLI,43.40063095,2010
495,MLI,43.52046967,2011
496,MLI,45.06592178,2015
497,MLI,46.18413925,2018
498,MLI,40.43405151,2020
499,MLT,86.55354309,1985
500,MLT,86.43028259,1995
501,MLT,91.18657684,2005
502,MLT,91.79264832,2011
503,MLT,93.00997162,2018
504,MHL,98.3250885,2011
505,MRT,59.54032898,2000
506,MRT,57.4043808,2007
507,MRT,67.95720673,2013
508,MRT,63.74855042,2017
509,MUS,85.14575195,1990
510,MUS,88.2278595,2000
511,MUS,91.95172119,2011
512,MUS,94.65241241,2012
513,MUS,94.03688812,2013
514,MUS,94.76538086,2014
515,MUS,94.86116791,2015
516,MUS,95.43585968,2016
517,MUS,93.35735321,2018
518,MEX,86.24265289,1980
519,MEX,90.34739685,1990
520,MEX,92.55937195,2000
521,MEX,91.99780273,2002
522,MEX,92.44960785,2004
523,MEX,93.1904068,2005
524,MEX,93.90119934,2006
525,MEX,94.44151306,2007
526,MEX,94.59216309,2008
527,MEX,94.91657257,2009
528,MEX,94.38394165,2010
529,MEX,94.78276825,2011
530,MEX,95.39163208,2012
531,MEX,95.11210632,2013
532,MEX,95.62046814,2014
533,MEX,95.54933167,2015
534,MEX,95.84481812,2016
535,MEX,95.87236786,2017
536,MEX,96.23290253,2018
537,MEX,96.05874634,2020
538,MDA,98.61405182,1989
539,MDA,97.97762299,2000
540,MDA,99.60201263,2014
