COUNTRY_CODE,REPORT_COUNT,MAX_EXP,MIN_EXP,AVG_EXP
FIN,36,12.893159866333008,10.906270027160645,12.04209033648173
FRA,19,11.508179664611816,9.360710144042969,10.2228556683189
GAB,16,17.70648956298828,6.9529500007629395,12.389030545949936
GMB,18,18.881710052490234,5.029540061950684,10.88311176829868
GEO,18,15.036760330200195,6.707759857177734,11.372837755415174
DEU,18,11.230179786682129,8.270079612731934,10.224578804439968
GHA,23,37.52096176147461,7.641880035400391,21.619276523590088
GRC,21,8.700209617614746,6.2044901847839355,7.1967057046436125
GRD,2,14.041170120239258,10.808989524841309,12.425079822540283
GTM,15,24.085500717163086,18.723379135131836,21.745890299479168
GIN,24,15.76885986328125,9.460610389709473,12.703329881032309
GNB,9,16.743099212646484,9.069239616394043,13.082584275139702
GUY,18,22.68779945373535,10.186699867248535,15.022771517435709
HTI,5,15.196849822998047,11.984149932861328,13.900025939941406
HND,11,25.65361976623535,12.888750076293945,20.975675582885742
HKG,27,23.799470901489258,9.408109664916992,19.727128982543945
HUN,22,11.8297700881958,8.368080139160156,9.856919938867742
ISL,26,17.217159271240234,10.956879615783691,14.609882318056547
IND,15,16.959829330444336,11.191200256347656,13.173232078552246
IDN,22,21.078779220581055,5.863969802856445,14.985544443130493
IRN,26,26.50642967224121,13.566920280456543,20.282002375676083
IRL,37,14.595620155334473,9.27737045288086,12.334626481339738
ISR,19,15.701080322265625,12.563480377197266,14.002035893891987
ITA,25,9.822859764099121,7.774899959564209,8.815135269165038
JAM,26,21.797489166259766,11.733019828796387,17.088968753814697
JPN,11,18.05423927307129,8.732540130615234,13.768472584811123
JOR,15,21.56406021118164,8.100000381469727,11.61478328704834
KAZ,12,14.759480476379395,10.28594970703125,12.750073512395224
KEN,28,27.46933937072754,13.864480018615723,19.58302048274449
KIR,14,20.177610397338867,11.51613998413086,15.359456402914864
KWT,14,18.014179229736328,8.397489547729492,12.566074916294642
KGZ,23,21.851459503173828,11.387319564819336,16.56114030920941
LAO,14,18.101789474487305,7.246960163116455,11.915212801524572
LVA,20,18.744020462036133,11.147509574890137,14.368402814865112
LBN,23,10.443400382995605,5.502999782562256,7.323946994283925
LSO,29,32.4049186706543,13.135860443115234,20.77085307548786
LBR,6,8.341939926147461,4.673270225524902,6.615816672643025
LBY,1,8.1387300491333,8.1387300491333,8.1387300491333
LTU,24,47.27873992919922,11.742730140686035,16.175779660542805
LUX,7,9.489680290222168,8.474499702453613,9.041777202061244
MAC,20,22.328609466552734,8.113349914550781,12.669864463806153
MDG,30,22.585830688476562,9.382769584655762,16.449260997772218
MWI,11,21.79789924621582,11.497650146484375,16.032279101285067
MYS,28,25.903600692749023,14.038640022277832,19.765745878219604
MDV,20,21.239900588989258,9.210169792175293,12.984942150115966
MLI,20,22.403379440307617,13.90388011932373,16.659470510482787
MLT,13,18.904800415039062,9.535340309143066,14.379102266751802
MHL,9,28.54380989074707,12.520210266113281,19.56470553080241
MRT,8,13.68274974822998,8.175809860229492,10.361927390098572
MUS,24,20.905179977416992,11.194950103759766,16.26824676990509
MEX,25,24.121299743652344,12.154589653015137,18.91382194519043
FSM,7,22.312389373779297,8.784979820251465,16.718321255275182
MDA,22,28.3399600982666,12.923930168151855,18.986531604420055
MCO,19,8.87594985961914,5.008860111236572,6.220890020069323
MNG,19,20.48335075378418,12.150850296020508,15.013961139478182
MAR,11,25.768470764160156,4.645979881286621,15.24321191961115
MOZ,16,22.71817970275879,12.053750038146973,18.507628738880157
MMR,10,13.800000190734863,5.928639888763428,9.416513013839722
NAM,19,26.390399932861328,20.328210830688477,23.473509135999176
NRU,8,12.747969627380371,3.5293900966644287,8.103958666324615
NPL,19,25.500640869140625,14.101869583129883,19.465625361392373
NLD,35,12.91154956817627,8.887470245361328,11.268214770725795
NZL,28,17.75274085998535,8.092690467834473,14.721682923180717
NIC,14,26.408000946044922,0,14.33413566861834
NER,22,21.661500930786133,11.952619552612305,16.867470047690652
NGA,7,11.046859741210938,5.621039867401123,7.212517057146345
NOR,38,17.282060623168945,13.185059547424316,15.313596876044022
OMN,22,13.550089836120605,6.930739879608154,10.044484095139937
PAK,22,15.445520401000977,7.802849769592285,11.912044481797652
PLW,3,15.537659645080566,13.964409828186035,14.936639785766602
PSE,9,17.80521011352539,15.367819786071777,16.690636740790474
PAN,18,19.831939697265625,7.466390132904053,13.884781095716688
PNG,2,10.698200225830078,9.227100372314453,9.962650299072266
PRY,19,21.876840591430664,7.858059883117676,14.726812061510588
PER,22,18.235919952392578,13.552550315856934,15.521464217792857
PHL,20,18.18099021911621,12.42236042022705,15.039304542541505
POL,22,16.795909881591797,10.891900062561035,11.7666127464988
PRT,29,12.601869583129883,7.213819980621338,10.747564562435809
QAT,18,15.055520057678223,7.843699932098389,11.53522276878357
ROU,20,14.728650093078613,8.187580108642578,10.30589509010315
RUS,15,14.341079711914062,8.951849937438965,11.330018679300943
RWA,16,25.313140869140625,10.76183032989502,15.145296216011047
KNA,17,19.167739868164062,8.635499954223633,12.602462992948645
LCA,23,31.313180923461914,12.192449569702148,18.02629052037778
WSM,11,16.214990615844727,10.461299896240234,13.856056473471902
SMR,5,15.059920310974121,10.640359878540039,12.814302062988281
STP,20,20.560779571533203,5.85359001159668,14.894025516510009
SAU,17,23.98242950439453,12.295820236206055,18.49118995666504
SEN,23,25.74234962463379,15.729740142822266,20.264910822329313
SRB,12,10.482179641723633,8.604599952697754,9.446094989776611
SYC,25,26.991809844970703,6.771200180053711,13.110091247558593
SLE,19,35.005828857421875,12.411459922790527,19.001032076383893
SGP,14,31.371749877929688,18.57172966003418,24.17337199619838
SVK,22,10.815540313720703,7.323430061340332,9.379625060341574
SVN,18,12.276880264282227,8.969599723815918,11.228939427269829
SLB,11,27.632200241088867,13.116479873657227,20.742010896856133
SOM,6,4.412380218505859,1.3148399591445923,2.68632839123408
ZAF,21,20.472049713134766,17.906309127807617,18.966115134102957
SSD,7,4.131360054016113,0.8333600163459778,2.4812528661319186
ESP,31,10.926079750061035,8.843440055847168,10.277991633261404
LKA,15,17.728759765625,8.270790100097656,11.243075307210287
SDN,8,12.475580215454102,5.966800212860107,9.372645258903503
SUR,7,17.323579788208008,10.107489585876465,14.118085724966866
SWE,29,15.686100006103516,7.979899883270264,12.500840335056699
CHE,33,17.181640625,14.333100318908691,15.5712809418187
SYR,9,20.048479080200195,15.040760040283203,18.0809932284885
TJK,22,19.91206932067871,11.834389686584473,15.154897299679844
TZA,13,24.39653968811035,11.793970108032227,17.464594547565166
THA,25,28.388599395751953,14.487290382385254,19.396290588378907
TLS,11,10.586119651794434,5.537690162658691,7.696045398712158
TGO,23,30.700029373168945,15.991310119628906,20.790036989294965
TON,10,26.056989669799805,10.171199798583984,17.49446897506714
TTO,23,15.011529922485352,8.700969696044922,11.983121374379033
TUN,20,27.833810806274414,20.723960876464844,24.410550689697267
TUR,7,12.406669616699219,5.982659816741943,7.929345607757568
TKM,2,23.010250091552734,20.795509338378906,21.90287971496582
TCA,7,14.191699981689453,11.622130393981934,12.39471857888358
UGA,11,20.308340072631836,10.104889869689941,12.575502742420543
UKR,24,15.814249992370605,11.358969688415527,13.502485434214273
ARE,1,10.267660140991211,10.267660140991211,10.267660140991211
GBR,35,13.761280059814453,10.215789794921875,12.129837390354702
URY,19,17.677900314331055,6.836269855499268,13.378138968819066
UZB,6,23.090330123901367,20.5356502532959,22.37808640797933
VUT,14,44.80179977416992,4.4280900955200195,22.270974942616053
VEN,3,23.873130798339844,15.6799898147583,18.579773267110188
VNM,13,18.784990310668945,14.029569625854492,16.34779460613544
YEM,3,30.489280700683594,12.489239692687988,24.433266639709473
ZMB,17,20.100000381469727,5.651800155639648,13.309641866122975
ZWE,8,30.01515007019043,8.536720275878906,23.73440647125244
