report_id,country_code,rate,year,gender,age
384,IRN,89.54248047,2013,male,adult
385,IRN,89.63542175,2014,male,adult
386,IRN,90.35240936,2016,male,adult
387,IRQ,84.08740997,2000,male,adult
388,IRQ,85.90000153,2012,male,adult
389,IRQ,81.40000153,2013,male,adult
390,IRQ,90,2014,male,adult
391,IRQ,90,2016,male,adult
392,IRQ,91.19999695,2017,male,adult
393,ISR,94.96340179,1983,male,adult
394,ITA,97.46465302,1981,male,adult
395,ITA,98.82369232,2001,male,adult
396,ITA,99.14100647,2011,male,adult
397,ITA,99.35344696,2018,male,adult
398,JAM,74.08184052,1999,male,adult
399,JAM,83.44000244,2014,male,adult
400,JOR,80.48261261,1979,male,adult
401,JOR,95.08450317,2003,male,adult
402,JOR,95.17645264,2005,male,adult
403,JOR,95.49455261,2007,male,adult
404,JOR,95.76724243,2010,male,adult
405,JOR,97.74835968,2011,male,adult
406,JOR,98.44455719,2012,male,adult
407,JOR,98.61421204,2018,male,adult
408,KAZ,99.07195282,1989,male,adult
409,KAZ,99.76329803,1999,male,adult
410,KAZ,99.78624725,2009,male,adult
411,KAZ,99.8296814,2010,male,adult
412,KAZ,99.8296814,2018,male,adult
413,KEN,87.49465942,2000,male,adult
414,KEN,78.07914734,2007,male,adult
415,KEN,83.7780304,2014,male,adult
416,KEN,84.98883057,2018,male,adult
417,KWT,68.02863312,1975,male,adult
418,KWT,72.78765106,1980,male,adult
419,KWT,78.19730377,1985,male,adult
420,KWT,81.12094879,1995,male,adult
421,KWT,94.44603729,2005,male,adult
422,KWT,94.52522278,2006,male,adult
423,KWT,94.79457855,2007,male,adult
424,KWT,95.01587677,2008,male,adult
425,KWT,95.54531097,2010,male,adult
426,KWT,95.83972168,2012,male,adult
427,KWT,96.35418701,2013,male,adult
428,KWT,96.39225006,2015,male,adult
429,KWT,96.69714355,2017,male,adult
430,KWT,96.66645813,2018,male,adult
431,KWT,97.05384827,2020,male,adult
432,KGZ,99.30670929,1999,male,adult
433,KGZ,99.5187912,2009,male,adult
434,KGZ,99.67700958,2018,male,adult
435,LAO,73.48625183,1995,male,adult
436,LAO,81.36018372,2000,male,adult
437,LAO,77.00605774,2001,male,adult
438,LAO,82.45175171,2005,male,adult
439,LAO,67.35858154,2011,male,adult
440,LAO,89.96128082,2015,male,adult
441,LVA,99.7543335,1989,male,adult
442,LVA,99.79334259,2000,male,adult
443,LVA,99.88110352,2011,male,adult
444,LVA,99.86837006,2018,male,adult
445,LBN,93.37893677,2007,male,adult
446,LBN,94.27194977,2009,male,adult
447,LBN,96.85466003,2018,male,adult
448,LSO,79.99578094,2000,male,adult
449,LSO,65.5219574,2009,male,adult
450,LSO,67.74746704,2014,male,adult
451,LBR,44.87931824,1984,male,adult
452,LBR,60.77481079,2007,male,adult
453,LBR,62.69655991,2017,male,adult
454,LBY,76.99263,1984,male,adult
455,LBY,87.72000122,1994,male,adult
456,LBY,93.84999847,2004,male,adult
457,LTU,99.20681,1989,male,adult
458,LTU,99.64315033,2001,male,adult
459,LTU,99.79418945,2011,male,adult
460,MAC,92.80967712,1981,male,adult
461,MAC,95.27620697,2001,male,adult
462,MAC,96.46999359,2006,male,adult
463,MAC,97.75128937,2011,male,adult
464,MAC,98.18592072,2016,male,adult
465,MDG,76.53832245,2000,male,adult
466,MDG,63.34706879,2005,male,adult
467,MDG,67.41731262,2009,male,adult
468,MDG,75.02886963,2012,male,adult
469,MDG,78.37828064,2018,male,adult
470,MWI,65.27950287,1987,male,adult
471,MWI,74.92640686,1998,male,adult
472,MWI,72.09764862,2010,male,adult
473,MWI,75.97926331,2014,male,adult
474,MWI,69.75396729,2015,male,adult
475,MYS,78.14633179,1980,male,adult
476,MYS,88.56298828,1991,male,adult
477,MYS,91.96923828,2000,male,adult
478,MYS,95.43374634,2010,male,adult
479,MYS,96.29699707,2016,male,adult
480,MYS,96.49912262,2017,male,adult
481,MYS,96.12304688,2018,male,adult
482,MYS,96.21800232,2019,male,adult
483,MDV,82.40484619,1977,male,adult
484,MDV,92.11401367,1985,male,adult
485,MDV,95.89713287,1990,male,adult
486,MDV,96.21227264,1995,male,adult
487,MDV,98.36569214,2006,male,adult
488,MDV,98.52033997,2014,male,adult
489,MDV,97.29892731,2016,male,adult
490,MLI,13.51292038,1976,male,adult
491,MLI,26.73296928,1998,male,adult
492,MLI,32.70000076,2003,male,adult
493,MLI,34.85789108,2006,male,adult
494,MLI,43.40063095,2010,male,adult
495,MLI,43.52046967,2011,male,adult
496,MLI,45.06592178,2015,male,adult
497,MLI,46.18413925,2018,male,adult
498,MLI,40.43405151,2020,male,adult
499,MLT,86.55354309,1985,male,adult
500,MLT,86.43028259,1995,male,adult
501,MLT,91.18657684,2005,male,adult
502,MLT,91.79264832,2011,male,adult
503,MLT,93.00997162,2018,male,adult
504,MHL,98.3250885,2011,male,adult
505,MRT,59.54032898,2000,male,adult
506,MRT,57.4043808,2007,male,adult
507,MRT,67.95720673,2013,male,adult
508,MRT,63.74855042,2017,male,adult
509,MUS,85.14575195,1990,male,adult
510,MUS,88.2278595,2000,male,adult
511,MUS,91.95172119,2011,male,adult
