report_id,country_code,rate,age
512,MUS,94.65241241,adult
513,MUS,94.03688812,adult
514,MUS,94.76538086,adult
515,MUS,94.86116791,adult
516,MUS,95.43585968,adult
517,MUS,93.35735321,adult
518,MEX,86.24265289,adult
519,MEX,90.34739685,adult
520,MEX,92.55937195,adult
521,MEX,91.99780273,adult
522,MEX,92.44960785,adult
523,MEX,93.1904068,adult
524,MEX,93.90119934,adult
525,MEX,94.44151306,adult
526,MEX,94.59216309,adult
527,MEX,94.91657257,adult
528,MEX,94.38394165,adult
529,MEX,94.78276825,adult
530,MEX,95.39163208,adult
531,MEX,95.11210632,adult
532,MEX,95.62046814,adult
533,MEX,95.54933167,adult
534,MEX,95.84481812,adult
535,MEX,95.87236786,adult
536,MEX,96.23290253,adult
537,MEX,96.05874634,adult
538,MDA,98.61405182,adult
539,MDA,97.97762299,adult
540,MDA,99.60201263,adult
541,MNG,98.01677704,adult
542,MNG,98.17469788,adult
543,MNG,98.18601227,adult
544,MNG,99.12138367,adult
545,MNE,96.32053375,adult
546,MNE,89.28208923,adult
547,MNE,99.30319214,adult
548,MNE,99.43121338,adult
549,MNE,99.45046997,adult
550,MAR,43.7143898,adult
551,MAR,55.15517044,adult
552,MAR,65.70675659,adult
553,MAR,68.36585999,adult
554,MAR,68.9176178,adult
555,MAR,76.07357788,adult
556,MAR,80.38336182,adult
557,MAR,75.36726379,adult
558,MAR,83.30135345,adult
559,MOZ,43.77833176,adult
560,MOZ,54.81887817,adult
561,MOZ,65.57710266,adult
562,MOZ,67.35469818,adult
563,MOZ,70.75839233,adult
564,MOZ,72.59944916,adult
565,MMR,85.7883606,adult
566,MMR,93.924263,adult
567,MMR,80.01158905,adult
568,MMR,92.39292908,adult
569,NAM,77.80812073,adult
570,NAM,86.55522919,adult
571,NAM,74.32834625,adult
572,NAM,88.63123322,adult
573,NAM,91.62741852,adult
574,NPL,31.67275047,adult
575,NPL,49.22002029,adult
576,NPL,62.70801163,adult
577,NPL,71.70838165,adult
578,NPL,78.59133911,adult
579,NCL,92.19094086,adult
580,NCL,94.04418945,adult
581,NCL,96.78476715,adult
582,NCL,98.13999939,adult
583,NIC,76.76049042,adult
584,NIC,78.09642792,adult
585,NIC,82.43855286,adult
586,NER,19.64006042,adult
587,NER,42.92736816,adult
588,NER,39.05868912,adult
589,NER,43.59405899,adult
590,NGA,67.65373993,adult
591,NGA,66.76743317,adult
592,NGA,76.13186646,adult
593,NGA,61.25405121,adult
594,NGA,71.25570679,adult
595,PRK,99.99887848,adult
596,MKD,97.23235321,adult
597,MKD,98.21278381,adult
598,MKD,98.80999756,adult
599,MKD,99.11786652,adult
600,OMN,86.86234283,adult
601,OMN,89.99932098,adult
602,OMN,90.24302673,adult
603,OMN,94.99073792,adult
604,OMN,96.63287354,adult
605,OMN,96.63082886,adult
606,OMN,97.02387238,adult
607,OMN,96.98941803,adult
608,PAK,35.38064957,adult
609,PAK,55.29661179,adult
610,PAK,64.06047821,adult
611,PAK,67.65184021,adult
612,PAK,65.00493622,adult
613,PAK,68.8660965,adult
614,PAK,68.62761688,adult
615,PAK,68.90061188,adult
616,PAK,66.99114227,adult
617,PAK,69.85822296,adult
618,PAK,68.62934113,adult
619,PAK,69.06681061,adult
620,PAK,71.11599731,adult
621,PAK,69.27658081,adult
622,PAK,69.28746033,adult
623,PLW,93.2873764,adult
624,PLW,99.46720886,adult
625,PLW,96.81275177,adult
626,PSE,92.24852753,adult
627,PSE,96.07893372,adult
628,PSE,97.08058929,adult
629,PSE,97.10471344,adult
630,PSE,97.20130157,adult
631,PSE,97.31667328,adult
632,PSE,97.52520752,adult
633,PSE,97.74404907,adult
634,PSE,98.06757355,adult
635,PSE,98.26705933,adult
636,PSE,98.27913666,adult
637,PSE,98.37687683,adult
638,PSE,98.50679016,adult
639,PSE,98.52600861,adult
640,PSE,98.65782166,adult
641,PSE,98.80442047,adult
642,PSE,98.79380035,adult
643,PAN,88.09651947,adult
644,PAN,89.33695984,adult
645,PAN,92.54792786,adult
646,PAN,94.70741272,adult
647,PAN,95.96893311,adult
648,PAN,96.14089966,adult
649,PNG,63.44522095,adult
650,PNG,65.29000092,adult
651,PRY,81.08306885,adult
652,PRY,92.00015259,adult
653,PRY,95.71237946,adult
654,PRY,94.12631989,adult
655,PRY,94.36772919,adult
656,PRY,94.8131485,adult
657,PRY,94.81725311,adult
658,PRY,95.6661911,adult
659,PRY,95.87412262,adult
660,PRY,96.25430298,adult
661,PRY,95.47605896,adult
662,PRY,94.51148224,adult
663,PRY,93.78816986,adult
664,PRY,94.92147064,adult
665,PER,90.1435318,adult
666,PER,92.85101318,adult
667,PER,93.46070099,adult
668,PER,93.7183075,adult
669,PER,94.22582245,adult
670,PER,94.85703278,adult
671,PER,96.95012665,adult
672,PER,96.94898224,adult
673,PER,97.10637665,adult
674,PER,97.1884613,adult
675,PER,97.03974152,adult
676,PER,97.12136841,adult
677,PER,96.98989105,adult
678,PHL,83.88928986,adult
679,PHL,93.97168732,adult
680,PHL,93.30285645,adult
681,PHL,92.54499817,adult
682,PHL,91.63449097,adult
683,PHL,95.01213074,adult
684,PHL,96.00833893,adult
685,PHL,98.12325287,adult
686,PHL,95.70572662,adult
687,POL,99.27516937,adult
688,POL,99.27516937,adult
689,POL,99.27516937,adult
690,POL,99.27516937,adult
691,PRT,84.83334351,adult
692,PRT,91.58705902,adult
693,PRT,96.2855835,adult
694,PRT,97.35362244,adult
695,PRI,87.74803162,adult
696,PRI,89.50269318,adult
697,PRI,91.33078003,adult
698,PRI,92.38996124,adult
699,QAT,76.79582977,adult
700,QAT,84.24456024,adult
701,QAT,86.73982239,adult
702,QAT,89.95789337,adult
703,QAT,91.43579102,adult
