report_id,country_code,rate,gender
413,KEN,87.49465942,male
414,KEN,78.07914734,male
415,KEN,83.7780304,male
416,KEN,84.98883057,male
417,KWT,68.02863312,male
418,KWT,72.78765106,male
419,KWT,78.19730377,male
420,KWT,81.12094879,male
421,KWT,94.44603729,male
422,KWT,94.52522278,male
423,KWT,94.79457855,male
424,KWT,95.01587677,male
425,KWT,95.54531097,male
426,KWT,95.83972168,male
427,KWT,96.35418701,male
428,KWT,96.39225006,male
429,KWT,96.69714355,male
430,KWT,96.66645813,male
431,KWT,97.05384827,male
432,KGZ,99.30670929,male
433,KGZ,99.5187912,male
434,KGZ,99.67700958,male
435,LAO,73.48625183,male
436,LAO,81.36018372,male
437,LAO,77.00605774,male
438,LAO,82.45175171,male
439,LAO,67.35858154,male
440,LAO,89.96128082,male
441,LVA,99.7543335,male
442,LVA,99.79334259,male
443,LVA,99.88110352,male
444,LVA,99.86837006,male
445,LBN,93.37893677,male
446,LBN,94.27194977,male
447,LBN,96.85466003,male
448,LSO,79.99578094,male
449,LSO,65.5219574,male
450,LSO,67.74746704,male
451,LBR,44.87931824,male
452,LBR,60.77481079,male
453,LBR,62.69655991,male
454,LBY,76.99263,male
455,LBY,87.72000122,male
456,LBY,93.84999847,male
457,LTU,99.20681,male
458,LTU,99.64315033,male
459,LTU,99.79418945,male
460,MAC,92.80967712,male
461,MAC,95.27620697,male
462,MAC,96.46999359,male
463,MAC,97.75128937,male
464,MAC,98.18592072,male
465,MDG,76.53832245,male
466,MDG,63.34706879,male
467,MDG,67.41731262,male
468,MDG,75.02886963,male
469,MDG,78.37828064,male
470,MWI,65.27950287,male
471,MWI,74.92640686,male
472,MWI,72.09764862,male
473,MWI,75.97926331,male
474,MWI,69.75396729,male
475,MYS,78.14633179,male
476,MYS,88.56298828,male
477,MYS,91.96923828,male
478,MYS,95.43374634,male
479,MYS,96.29699707,male
480,MYS,96.49912262,male
481,MYS,96.12304688,male
482,MYS,96.21800232,male
483,MDV,82.40484619,male
484,MDV,92.11401367,male
485,MDV,95.89713287,male
486,MDV,96.21227264,male
487,MDV,98.36569214,male
488,MDV,98.52033997,male
489,MDV,97.29892731,male
490,MLI,13.51292038,male
491,MLI,26.73296928,male
492,MLI,32.70000076,male
493,MLI,34.85789108,male
494,MLI,43.40063095,male
495,MLI,43.52046967,male
496,MLI,45.06592178,male
497,MLI,46.18413925,male
498,MLI,40.43405151,male
499,MLT,86.55354309,male
500,MLT,86.43028259,male
501,MLT,91.18657684,male
502,MLT,91.79264832,male
503,MLT,93.00997162,male
504,MHL,98.3250885,male
505,MRT,59.54032898,male
506,MRT,57.4043808,male
507,MRT,67.95720673,male
508,MRT,63.74855042,male
509,MUS,85.14575195,male
510,MUS,88.2278595,male
511,MUS,91.95172119,male
512,MUS,94.65241241,male
513,MUS,94.03688812,male
514,MUS,94.76538086,male
515,MUS,94.86116791,male
516,MUS,95.43585968,male
517,MUS,93.35735321,male
518,MEX,86.24265289,male
519,MEX,90.34739685,male
520,MEX,92.55937195,male
521,MEX,91.99780273,male
522,MEX,92.44960785,male
523,MEX,93.1904068,male
524,MEX,93.90119934,male
525,MEX,94.44151306,male
526,MEX,94.59216309,male
527,MEX,94.91657257,male
528,MEX,94.38394165,male
529,MEX,94.78276825,male
530,MEX,95.39163208,male
531,MEX,95.11210632,male
532,MEX,95.62046814,male
533,MEX,95.54933167,male
534,MEX,95.84481812,male
535,MEX,95.87236786,male
536,MEX,96.23290253,male
537,MEX,96.05874634,male
538,MDA,98.61405182,male
539,MDA,97.97762299,male
540,MDA,99.60201263,male
541,MNG,98.01677704,male
542,MNG,98.17469788,male
543,MNG,98.18601227,male
544,MNG,99.12138367,male
545,MNE,96.32053375,male
546,MNE,89.28208923,male
547,MNE,99.30319214,male
548,MNE,99.43121338,male
549,MNE,99.45046997,male
550,MAR,43.7143898,male
551,MAR,55.15517044,male
552,MAR,65.70675659,male
553,MAR,68.36585999,male
554,MAR,68.9176178,male
555,MAR,76.07357788,male
556,MAR,80.38336182,male
557,MAR,75.36726379,male
558,MAR,83.30135345,male
559,MOZ,43.77833176,male
560,MOZ,54.81887817,male
561,MOZ,65.57710266,male
562,MOZ,67.35469818,male
563,MOZ,70.75839233,male
564,MOZ,72.59944916,male
565,MMR,85.7883606,male
566,MMR,93.924263,male
567,MMR,80.01158905,male
568,MMR,92.39292908,male
569,NAM,77.80812073,male
570,NAM,86.55522919,male
571,NAM,74.32834625,male
572,NAM,88.63123322,male
573,NAM,91.62741852,male
574,NPL,31.67275047,male
575,NPL,49.22002029,male
576,NPL,62.70801163,male
577,NPL,71.70838165,male
578,NPL,78.59133911,male
579,NCL,92.19094086,male
580,NCL,94.04418945,male
581,NCL,96.78476715,male
582,NCL,98.13999939,male
583,NIC,76.76049042,male
584,NIC,78.09642792,male
585,NIC,82.43855286,male
586,NER,19.64006042,male
587,NER,42.92736816,male
588,NER,39.05868912,male
589,NER,43.59405899,male
590,NGA,67.65373993,male
591,NGA,66.76743317,male
592,NGA,76.13186646,male
593,NGA,61.25405121,male
594,NGA,71.25570679,male
595,PRK,99.99887848,male
596,MKD,97.23235321,male
597,MKD,98.21278381,male
598,MKD,98.80999756,male
599,MKD,99.11786652,male
600,OMN,86.86234283,male
601,OMN,89.99932098,male
602,OMN,90.24302673,male
603,OMN,94.99073792,male
604,OMN,96.63287354,male
605,OMN,96.63082886,male
606,OMN,97.02387238,male
607,OMN,96.98941803,male
608,PAK,35.38064957,male
609,PAK,55.29661179,male
610,PAK,64.06047821,male
611,PAK,67.65184021,male
612,PAK,65.00493622,male
613,PAK,68.8660965,male
614,PAK,68.62761688,male
615,PAK,68.90061188,male
616,PAK,66.99114227,male
617,PAK,69.85822296,male
618,PAK,68.62934113,male
619,PAK,69.06681061,male
620,PAK,71.11599731,male
621,PAK,69.27658081,male
622,PAK,69.28746033,male
623,PLW,93.2873764,male
624,PLW,99.46720886,male
625,PLW,96.81275177,male
626,PSE,92.24852753,male
627,PSE,96.07893372,male
628,PSE,97.08058929,male
629,PSE,97.10471344,male
630,PSE,97.20130157,male
631,PSE,97.31667328,male
632,PSE,97.52520752,male
633,PSE,97.74404907,male
634,PSE,98.06757355,male
635,PSE,98.26705933,male
